source,restaurant_id,restaurant_metadata,location,review_id,review_date,rating,review_text,city,district,price_range,cuisine_type,comment_length,is_1_star
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_001,2026-07-20,5,Không gian quán ok. Thức ăn ok. Phục vụ nhanh. Lần sau ghé lại. Lt thanh pvu tốt,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,80,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_002,2026-07-06,5,tôi cảm thấy hài lòng về trải nghiệm này rất tuyệt vời lần sau tôi sẽ ghé tới,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,77,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_003,2026-07-05,5,Quán ănสะอาด บรรยากาศสวยงาม และอาหารอร่อยมาก พนักงานบริการสุภาพ รวดเร็ว และเป็นกันเอง ทำให้รู้สึกประทับใจ ราคาสสมเหตุสมผลเมื่อเทียบกับคุณภาพ แล้วจะกลับมาใช้บริการอีกแน่นอน,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,171,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_008,2026-03-16,5,OK quá tuyệt vời mọi người nên ghé,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,34,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_020,2025-10-07,5,không gian thoáng mát rộng rãi rất phù hợp cho gia đình bạn bè món ăn ngon phục vụ tốt nhân viên nhiệt tình có dịp lần sau tôi sẽ ghé lại quy nhon,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,146,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_037,2025-08-31,5,nhà hàng sát biển. không gian thoáng rộng. bếp chế biến tại chỗ . hải sản tươi sống. Size to nhỏ đều có chế biến trình bày đẹp mắt chìn chu. hợp khẩu vị. Nhân viên phục vụ nhiệt tình chu đáo. nói chung chất lượng 10đ.,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,217,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_046,2025-08-28,5,Tôi được bạn bè giới thiệu đến. Điều tôi không ngờ đến là chất lượng dịch vụ ở đây khá tốt nhân viên chu đáo nhiệt tình. Món ăn ngon tươi sống,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,142,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_049,2025-08-25,5,Gia đình tôi và tôi có một trải nghiệm rất hài lòng về món ăn và các phục vụ chuyên nghiệp ở đây. Nhân viên rất chu đáo tận tình món ăn thì không phải bàn nữa quả view quá ok quá xịn,Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,182,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_078,2023-03-29,5,Nhà hàng cá khói ngon như nhà hàng cá lừa ở đà nẵng. Mn nên ủng hộ nhiều .và nên thử ít nhất 1 lần😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍[cite: 77],Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,128,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_082,2023-03-27,5,Nhà hàng này nấu ăn ngon mà vừa hợp khẩu vị đối với mình ở đây và cách nhân viên phục vụ khách rất tốt nhân viên ở đây dễ thương và nhà phong cách rì Wii rất đẹp thoáng mát[cite: 81],Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,182,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_085,2023-03-22,5,Nhà hàng món ăn ngon hợp khẩu vị bố trí các món ăn đẹp mắt View đẹp thoáng Phục vụ nhiệt tình chu đáo 😍😍😍😍😍😍😍😍😍😍😍😍😍😍[cite: 84],Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,126,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_087,2023-03-22,5,View đẹp không gian rộng rãi thoáng mát thoải mái sang trọng Món ăn ngon Phục vụ tận tình đầu bếp chuyên nghiệp Menu phong phú đa dạng[cite: 86],Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,144,0
Tripadvisor,d15325004,Nha Hang Ca Khoi,Quy Nhon,TA_CK_REAL_107,2023-03-22,5,Món ăn ngon hợp khẩu vị Các món ăn được bố trí đẹp mắt View đẹp thoáng Nhân viên phục vụ nhiệt tình chu đáo 🥰🥰🥰🥰🥰🥰🥰🥰[cite: 103],Quy Nhơn,Chưa xác định,Trung bình,Ẩm thực địa phương,127,0
