STT,Rating,Comment,Sentiment
1,5.0,"Món gà này nhà mình ăn nhiều lắm vì vị quá ngon , giá hợp lý",Positive
2,5.0,Tuyệt vời lăm,Positive
3,5.0,Ga da giòn ngọt thịt,Positive
4,5.0,Gà ngon,Positive
5,5.0,Ngon ah,Positive
6,5.0,"Thịt gà mềm, da giòn,  muối chấm rất ngon 👍👍",Positive
7,5.0,Ngon và hấp dẫn ạ,Positive
8,5.0,Chưa bao giờ m được món gà nào mà ngon ngọt như này nhất định sẽ có nhiều lần sau,Positive
9,5.0,Gà thơm ngon trang trí đẹp mắt,Positive
10,5.0,Rất ngon và đẹp mắt,Positive
11,5.0,Chưa bao giờ m được món gà nào mà ngon ngọt như này nhất định sẽ có nhiều lần sau,Positive
12,5.0,Ngon,Positive
13,5.0,Tuyệt vời rat ngon nha.❤️❤️❤️❤️,Positive
14,4.9,Ngon bổ rẻ giao hàng nhanh nhiệt tình ạ mn qua cửa hàng này nhé,Positive
15,5.0,Cửa hàng sạch đẹp phục vụ tốt đồ ăn thơm ngon,Positive
16,5.0,"Gà thịt chắc, giai, ngọt rất ngon. Xin mời mọi người ghé quán",Positive
17,5.0,Gà rất ngon và chất lượng,Positive
18,5.0,"Thịt gà mềm, ngọt, thơm ngon lắm ạ.",Positive
19,5.0,Gà rất ngon và chất lượng,Positive
20,5.0,Gà tươi ngon ăn rất đậm đà,Positive
21,5.0,"Thịt gà chắc, ngon ngọt",Positive
22,5.0,"Cửa hàng sạch đẹp, phục vụ tốt. Đồ ăn hợp khẩu vị, gà thơm ngon",Positive
23,5.0,"Gà thịt chắc, giai, ngọt rất ngon. Xin mời mọi người ghé quán ạ",Positive
24,5.0,"Món này ngon, ai chưa được ăn thì nên ghé ăn thử nhé",Positive
25,5.0,Thịt gà thơm ngon và hấp dẫn bổ dưỡng,Positive
26,5.0,Ngon lắm nha,Positive
27,5.0,"Rất ngon , hấp dẫn",Positive
28,5.0,Món này ngon.ai chưa được  ăn thì nên thử nè,Positive
29,5.0,Gà thơm ngon ngọt day ăn một lần là nhớ mãi,Positive
30,5.0,"Gà ngon ,sẽ ủng hộ tiếp",Positive
31,5.0,Món ăn rất ngon và nhiều người thích,Positive
32,5.0,gà vườn nên ăn rất ngon thịt dai,Positive
33,5.0,Món ngon mng đến đây thử nha,Positive
34,5.0,"Mùi rất thơm , dai ngon",Positive
35,5.0,Gà dai ăn rất ngọt thịt,Positive
36,4.8,"Gà dai, ngon hấp dẫn",Positive
37,5.0,"Ngon, thơm, sạch sẽ",Positive
38,5.0,Gà dai..thịt rất thơm,Positive
39,5.0,Gà dai ko bị bở ngon lắm,Positive
40,5.0,Tiệm gà này ngon.gà ăn dai thơm thịt,Positive
41,5.0,"Gà rất ngon, gà vườn nên dai lắm mn ơi",Positive
42,5.0,Ngon lắm ạ.sẽ ủng hộ tiếp,Positive
43,5.0,gà rất ngon ạ,Positive
44,5.0,Gà rất ngon và chất lượng,Positive
45,5.0,Thịt gà dai ngon ngọt .phục vụ nhiệt tình,Positive
46,5.0,ga luoc ma ăn voi hanh ngon nhựt nach,Positive
47,4.7,"Thịt ngon,ngọt. Rất ưng luôn",Positive
48,5.0,Gà thượng hạn. Dai.  Ngon lắm nha,Positive
49,5.0,"Ngon lắm nha cả nha, nên dùng thử nè",Positive
50,5.0,Thịt gà ngon,Positive
51,5.0,"Đúng là ga nhà nuôi có khác mn a, vừa ngon lại thơm cuốn hút người ăn, mn nhớ ghé qua ủng ho nhé",Positive
52,5.0,ngon nha ngon nha. ngon hết ý luôn đó,Positive
53,5.0,gà ăn rất ngon không bị mềm,Positive
54,5.0,Món gà hấp hành rất ngon,Positive
55,5.0,Món gà này rất ngon thịt dai chuẩn vị gà nhà,Positive
56,4.9,"Gà dai ngon, nhà mình rất thích chỗ này",Positive
57,5.0,Gà đúng chất lượng dai ngon nước chấm chấm khỏi cái bàn   hợp ý mình,Positive
58,5.0,Gà ngon ko bỡ như những chỗ khác đâu ạ.thử đi mọi người ơi.mlem,Positive
59,5.0,"Gà quá ngon luôn ạ, sẽ ghé lại ạ",Positive
60,5.0,"Gà ở đây ngon lắm luôn ,rất thơm ,dai",Positive
61,5.0,Gà quán này ăn phê luôn nhaz mọi người,Positive
62,5.0,Hấp dẫn quá .ngon kho cưỡng,Positive
63,5.0,"gà ngon rất vừa ăn, nước chấm đỉnh nên thử",Positive
64,5.0,Gà quán này ăn phê luôn nhaz mọi người,Positive
65,4.9,Gà rất ngon,Positive
66,5.0,Gà quán này ăn phê luôn nhaz mọi người,Positive
67,5.0,Gà đúng chất gà thả vườn dai và ngon mọi người hãy thử,Positive
68,5.0,Món ăn rất mềm thơm ngon quá tuyệt,Positive
69,5.0,Ngon,Positive
70,5.0,Tuyệt vời,Positive
71,5.0,Rất ngon,Positive
72,5.0,Rất ngon ạ,Positive
73,5.0,Thơm ngon cho từng miếng thịt rất ngon,Positive
74,5.0,"Gà nướng rất thơm và đậm vị, rất ngon",Positive
75,5.0,Gà ngon,Positive
76,5.0,Ngon quá,Positive
77,5.0,Món ăn rất mềm thơm ngon,Positive
78,5.0,Món ăn rất mềm thơm ngon,Positive
79,5.0,Ngon lắm,Positive
80,5.0,Gà ngon,Positive
81,5.0,"Thịt gà ăn nó mềm và  ngọt mùi vị ăn vào rất hợp khẩu vị, nói chung quá tuyệt vời",Positive
82,5.0,Rất ngon...quá tuyệt vời.. Sẽ tiếp tục ủng hộ ạ.,Positive
83,5.0,"Gà tươi, đậm vị, phục vụ nhiệt tình lắm ạ!",Positive
84,5.0,Gà rất dai và ngọt nhaa,Positive
85,5.0,"Gà mềm thơm, đậm vị.. chủ rât la nhiệt tình ạ..😋😋😋",Positive
86,5.0,Món ăn chất lượng,Positive
87,5.0,Thịt gà tươi . ngon. Sẽ ủng hộ ạ,Positive
88,5.0,"Thịt gà rất tươi ,dai và ngon",Positive
89,5.0,"Món ăn ngon , gà da giòn dai vừa miệng , gia vị chấm rất hợp",Positive
90,5.0,Ăn gà ngon đó,Positive
91,5.0,"Món ăn ngon vừa miệng, sẽ giới thiệu bạn bè ủng hộ",Positive
92,5.0,Ngon ngon ngon👍👍,Positive
93,5.0,"Gà rất dai, thơm ngon vị rất đậm đà mình rất thích",Positive
94,5.0,"Ngon rẻ, gia hop ly",Positive
95,5.0,Thịt gà dai ăn rất thơm ngon,Positive
96,5.0,Ga ngon thịt dai  thơm da vàng,Positive
97,5.0,Tốt. Ngon,Positive
98,5.0,"Gà dai dai mùi vị đậm đà , nhìn rất bất mắt, ăn rất ngon",Positive
99,5.0,"Gà dai thịt, ngon",Positive
100,5.0,Gà tươi ngon lắm nha,Positive
101,1.0,"Món ăn quá tệ, phục vụ chậm và không ngon",Negative
102,2.0,"Thức ăn nguội ngắt, rất thất vọng",Negative
103,3.0,Hộp đựng kém chất lượng,Neutral
